genus,tribe,subfamily,fmcs_species,ecos_scientific_name,ecos_common_name,ecos_esa_listing_status,ecos_esa_listing_date,listed_under_diff_name,Haag_2012_extinct,con_status_simp
Fusconaia,Pleurobemini,Ambleminae,Fusconaia cor,Fusconaia cor,Shiny pigtoe,Endangered,6/14/76,,,Imperiled
Fusconaia,Pleurobemini,Ambleminae,Fusconaia cuneolus,Fusconaia cuneolus,Finerayed pigtoe,Endangered,6/14/76,,,Imperiled
Fusconaia,Pleurobemini,Ambleminae,Fusconaia escambia,Fusconaia escambia,Narrow pigtoe,Threatened,10/10/12,,,Imperiled
Fusconaia,Pleurobemini,Ambleminae,Fusconaia flava,Fusconaia flava,Wabash Pigtoe,Not Listed,,,,Stable
Fusconaia,Pleurobemini,Ambleminae,Fusconaia iheringi,Fusconaia iheringi,Balcones spike,Under Review,,,,Stable
Fusconaia,Pleurobemini,Ambleminae,Fusconaia masoni,Fusconaia masoni,Atlantic pigtoe,Threatened,12/16/21,,,Imperiled
Fusconaia,Pleurobemini,Ambleminae,Fusconaia mitchelli,Fusconaia mitchelli,false spike,Proposed Endangered,,,,Stable
Fusconaia,Pleurobemini,Ambleminae,Fusconaia ozarkensis,Fusconaia ozarkensis,Ozark Pigtoe,Not Listed,,,,Stable
Fusconaia,Pleurobemini,Ambleminae,Fusconaia subrotunda,Fusconaia subrotunda,Longsolid,Threatened,4/10/23,,,Imperiled
Hemistena,Pleurobemini,Ambleminae,Hemistena lata,Hemistena lata,Cracking pearlymussel,Endangered,9/28/89,,,Imperiled
Parvaspina,Pleurobemini,Ambleminae,Parvaspina collina,Parvaspina collina,James spinymussel,Endangered,7/22/88,,,Imperiled
Parvaspina,Pleurobemini,Ambleminae,Parvaspina steinstansana,Parvaspina steinstansana,Tar River spinymussel,Endangered,6/27/85,,,Imperiled
Plethobasus,Pleurobemini,Ambleminae,Plethobasus cicatricosus,Plethobasus cicatricosus,White wartyback (pearlymussel),Endangered,6/14/76,,,Imperiled
Plethobasus,Pleurobemini,Ambleminae,Plethobasus cooperianus,Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Endangered,6/14/76,,,Imperiled
Plethobasus,Pleurobemini,Ambleminae,Plethobasus cyphyus,Plethobasus cyphyus,Sheepnose Mussel,Endangered,4/12/12,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema athearni,Pleurobema athearni,Canoe Creek Clubshell,Endangered,8/5/22,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema beadleianum,,,,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema clava,Pleurobema clava,Clubshell,Endangered,1/22/93,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema cordatum,Pleurobema cordatum,Ohio Pigtoe,Not Listed,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema curtum,Pleurobema curtum,Black clubshell,Endangered,4/7/87,,TRUE,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema decisum,Pleurobema decisum,Southern clubshell,Endangered,3/17/93,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema fibuloides,,,,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema georgianum,Pleurobema georgianum,Southern pigtoe,Endangered,3/17/93,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema hanleyianum,Pleurobema hanleyianum,Georgia pigtoe,Endangered,12/2/10,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema hartmanianum,,,,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema marshalli,Pleurobema marshalli,Flat pigtoe,Extinction,4/7/87,,TRUE,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema oviforme,Pleurobema oviforme,Tennessee clubshell,Proposed Endangered,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema perovatum,Pleurobema perovatum,Ovate clubshell,Endangered,3/17/93,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema plenum,Pleurobema plenum,Rough pigtoe,Endangered,6/14/76,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema pyriforme,Pleurobema pyriforme,Oval pigtoe,Endangered,3/16/98,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema riddellii,Pleurobema riddellii,Louisiana Pigtoe,Proposed Threatened,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema rubellum,Pleurobema rubellum,Warrior pigtoe,Status Undefined,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema rubrum,Pleurobema rubrum,pyramid pigtoe,Proposed Threatened,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema sintoxia,Pleurobema sintoxia,Round Pigtoe,Not Listed,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema stabile,,,,,,,Stable
Pleurobema,Pleurobemini,Ambleminae,Pleurobema strodeanum,Pleurobema strodeanum,Fuzzy pigtoe,Threatened,10/10/12,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema taitianum,Pleurobema taitianum,Heavy pigtoe,Endangered,4/7/87,,,Imperiled
Pleurobema,Pleurobemini,Ambleminae,Pleurobema verum,Pleurobema verum,True pigtoe,Species of Concern,,,,Stable
Pleuronaia,Pleurobemini,Ambleminae,Pleuronaia barnesiana,Pleuronaia barnesiana,Tennessee pigtoe,Proposed Endangered,,,,Stable
Pleuronaia,Pleurobemini,Ambleminae,Pleuronaia dolabelloides,Pleuronaia dolabelloides,Slabside Pearlymussel,Endangered,10/28/13,,,Imperiled
Pleuronaia,Pleurobemini,Ambleminae,Pleuronaia gibber,Pleuronaia gibber,Cumberland pigtoe,Endangered,5/7/91,,,Imperiled
Disconaias,Popenaiadini,Ambleminae,Disconaias fimbriata,,,,,,,Stable
Popenaias,Popenaiadini,Ambleminae,Popenaias popeii,Popenaias popeii,Texas Hornshell,Endangered,3/12/18,,,Imperiled
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias archeri,Quadrula asperata ssp. archeri,Tallapoosa orb,Under Review,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias infucata,,,,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias kieneriana,,,,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias kleiniana,Quincuncina kleiniana,Suwannee Pigtoe,Status Undefined,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias necki,Cyclonaias necki,Guadalupe Orb,Proposed Endangered,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias nodulata,Cyclonaias nodulata,Wartyback,Not Listed,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias petrina,Cyclonaias petrina,Texas pimpleback,Proposed Endangered,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias pustulosa,Cyclonaias pustulosa,Pimpleback,Not Listed,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias succissa,,,,,,,Stable
Cyclonaias,Quadrulini,Ambleminae,Cyclonaias tuberculata,Cyclonaias tuberculata,Purple Wartyback,Not Listed,,,,Stable
Megalonaias,Quadrulini,Ambleminae,Megalonaias nervosa,Megalonaias nervosa,Washboard,Not Listed,,,,Stable
Quadrula,Quadrulini,Ambleminae,Quadrula couchiana,,,,,,TRUE,Imperiled
Quadrula,Quadrulini,Ambleminae,Quadrula fragosa,Quadrula fragosa,Winged Mapleleaf,Endangered,6/20/91,,,Imperiled
Quadrula,Quadrulini,Ambleminae,Quadrula quadrula,Quadrula quadrula,Mapleleaf,Not Listed,,,,Stable
Theliderma,Quadrulini,Ambleminae,Theliderma cylindrica,Quadrula cylindrica cylindrica,Rabbitsfoot,Threatened,10/17/13,,,Imperiled
Theliderma,Quadrulini,Ambleminae,Theliderma intermedia,Theliderma intermedia,Cumberland monkeyface (pearlymussel),Endangered,6/14/76,,,Imperiled
Theliderma,Quadrulini,Ambleminae,Theliderma johnsoni,,,,,,,Stable
Theliderma,Quadrulini,Ambleminae,Theliderma metanevra,Theliderma metanevra,Monkeyface,Not Listed,,,,Stable
Theliderma,Quadrulini,Ambleminae,Theliderma sparsa,Theliderma sparsa,Appalachian monkeyface (pearlymussel),Endangered,6/14/76,,,Imperiled
Theliderma,Quadrulini,Ambleminae,Theliderma stapes,Quadrula stapes,Stirrupshell,Extinction,4/7/87,,TRUE,Imperiled
Tritogonia,Quadrulini,Ambleminae,Tritogonia nobilis,,,,,,,Stable
Tritogonia,Quadrulini,Ambleminae,Tritogonia verrucosa,Tritogonia verrucosa,Pistolgrip,Not Listed,,,,Stable
Uniomerus,Quadrulini,Ambleminae,Uniomerus carolinianus,,,,,,,Stable
Uniomerus,Quadrulini,Ambleminae,Uniomerus columbensis,,,,,,,Stable
Uniomerus,Quadrulini,Ambleminae,Uniomerus declivis,,,,,,,Stable
Uniomerus,Quadrulini,Ambleminae,Uniomerus tetralasmus,,,,,,,Stable
